scoutId,regio1,regio2,regio3,geo_plz,baseRent,totalRent,serviceCharge,heatingCosts,livingSpace,noRooms,yearConstructed,condition,typeOfFlat,energyEfficiencyClass,heatingType,pricetrend,newlyConst,balcony,lift,cellar,garden,hasKitchen,date
81136186,Nordrhein_Westfalen,Bochum,Langendreer/Alter_Bahnhof,44892,420.0,540.0,60.0,60.0,58.39,2.5,1917.0,well_kept,apartment,,self_contained_central_heating,,False,False,False,True,False,False,Oct19
97708167,Sachsen,Chemnitz,Schönau,9116,249.0,371.0,122.0,,55.4,2.0,1902.0,refurbished,,,central_heating,0.0,False,False,False,True,True,False,May19
59463687,Sachsen,Vogtlandkreis,Auerbach/Vogtland,8209,338.0,478.0,140.0,,63.0,2.0,1912.0,fully_renovated,apartment,,central_heating,0.0,False,True,False,True,True,False,Feb20
112253788,Berlin,Berlin,Kreuzberg_Kreuzberg,10969,978.0,1164.0,130.0,56.0,69.87,2.0,1968.0,mint_condition,apartment,,central_heating,8.63,False,True,True,False,False,True,Oct19
112683544,Sachsen,Nordsachsen_Kreis,Oschatz,4758,378.0,548.0,170.0,,68.61,3.0,1993.0,fully_renovated,apartment,D,central_heating,3.39,False,True,False,False,False,False,Oct19
113784291,Nordrhein_Westfalen,Düren_Kreis,Jülich,52428,665.0,845.0,120.0,60.0,95.22,2.0,2019.0,first_time_use_after_refurbishment,roof_storey,B,heat_pump,3.99,True,True,False,False,False,False,Feb20
110410986,Nordrhein_Westfalen,Essen,Altenessen_Nord,45329,409.0,,98.0,,65.0,2.0,1957.0,modernized,apartment,E,self_contained_central_heating,3.13,False,True,False,True,False,False,Oct19
108203830,Berlin,Berlin,Wilmersdorf_Wilmersdorf,10711,1100.0,1400.0,200.0,100.0,66.0,2.5,2000.0,modernized,apartment,C,,8.79,False,False,False,False,False,True,May19
114868388,Hessen,Darmstadt_Dieburg_Kreis,Weiterstadt,64331,790.0,950.0,160.0,,96.0,3.0,,fully_renovated,roof_storey,,gas_heating,4.31,False,True,False,False,False,True,Feb20
109400219,Berlin,Berlin,Spandau_Spandau,13587,660.0,890.0,150.0,,55.75,2.0,2018.0,first_time_use,apartment,NO_INFORMATION,combined_heat_and_power_plant,8.67,True,True,True,True,True,False,May19
98731557,Nordrhein_Westfalen,Krefeld,Stadtmitte,47798,380.0,580.0,140.0,80.0,68.0,2.0,1972.0,modernized,apartment,,electric_heating,4.55,False,False,False,True,False,False,Sep18
115271707,Sachsen_Anhalt,Magdeburg,Sudenburg,39112,400.0,577.0,177.0,,66.67,3.0,1920.0,first_time_use_after_refurbishment,apartment,,central_heating,1.49,False,False,False,False,False,True,Feb20
111121390,Sachsen,Plauen,Reißiger_Vorstadt,8525,639.0,851.0,212.0,,106.5,5.0,1906.0,modernized,apartment,,,1.94,False,False,False,False,False,False,May19
111370373,Berlin,Berlin,Schöneberg_Schöneberg,10825,720.0,866.0,146.0,,43.0,1.0,1956.0,first_time_use_after_refurbishment,ground_floor,,,9.7,False,True,False,True,True,True,May19
105269389,Bayern,Regensburg,Westenviertel,93049,1638.0,2024.0,256.0,,127.96,4.0,2018.0,mint_condition,penthouse,A_PLUS,central_heating,4.82,True,True,True,True,False,False,Oct19
115418449,Bremen,Bremen,Altstadt,28195,1025.0,1269.0,147.0,97.0,97.05,2.0,2015.0,mint_condition,apartment,,floor_heating,2.41,False,True,True,True,False,True,Feb20
110501499,Sachsen,Chemnitz,Schloßchemnitz,9113,275.0,385.0,110.0,,50.0,1.0,1912.0,fully_renovated,roof_storey,,central_heating,0.0,False,True,False,True,True,True,May19
106366081,Berlin,Berlin,Mitte_Mitte,10115,1961.46,2307.6,346.14,,115.38,4.0,2018.0,,,,floor_heating,8.75,True,True,False,False,False,False,Sep18
104696985,Bayern,Nürnberg,"Altstadt,_St._Sebald",90403,700.0,800.0,100.0,,53.81,2.0,,fully_renovated,other,,gas_heating,6.42,False,False,False,True,False,True,Feb20
110600144,Nordrhein_Westfalen,Bielefeld,Jöllenbeck,33739,483.0,599.0,116.0,,64.38,2.0,,,apartment,,,3.08,False,False,False,False,False,False,May19
